ID,BPM,KEY,PART,TITLE,ARTIST,ORIGIN,SEASON,YEAR,TYPE,NOTES
000159,"78, 83.5, 83.5","A Major, C Major, A Major","Intro, Verse, Chorus",Sentimental Crisis,halca,Kaguya-sama: Love is War,,2019,Anime,
000160,85,G# Major,,Isekai Girls Talk,"Yumi Hara, Sora Amamiya, Rie Takahashi, Aoi Yuuki",Isekai Quartet,,2019,Anime,
000161,71.5,D Major,,Zettai Zetsumei,Co shu Nie,The Promised Neverland,,2019,Anime,
000162,70,G Major,,Houkago no Liberty,halca,We Never Learn,,2019,Anime,
000163,77,D# Major,,Bon Kyu Bon wa Kare no Mono,Sumire Uesaka,"Why the Hell are you Here, Teacher?! ",,2019,Anime,
000164,"72, 72, 72","E Major, C# Major, E Major","Intro, Verse, Chorus",Little Soldier,Azusa Tadokoro,That Time I Got Reincarnated as a Slime,,2019,Anime,
000165,82,A# Major,,FLARE,Void_Chords feat. LIO,Arifureta: From Commonplace to World's Strongest,,2019,Anime,
000166,"91, 91","C Major, F# Major","Verse, Chorus",Broken Sky,Miyu Tomita,Talentless Nana,Fall,2020,Anime,
000167,123,B Major,,Shinkai,Eve,"Josee, the Tiger and the Fish",Fall,2020,Anime,
000168,90,A Major,,SPARK-AGAIN,Aimer,Fire Force: Season 2,Summer,2020,Anime,
000169,134,E Major,,Star Marker,KANA-BOON,My Hero Academia: Season 4,Winter,2020,Anime,
000170,80,D Major,,Tomoshibi no Manimani,Nao Toyama,Kakuriyo: Bed & Breakfast for Spirits,Spring,2018,Anime,
000171,"122, 122","C# Major, C Major","Verse, Chorus",LOST IN PARADISE,ALI,Jujutsu Kaisen,Fall,2020,Anime,
000172,"92.5, 92.5","C Major, G Major","Verse, Chorus",Kokuhaku Bungee Jump,halca,Rent-a-Girlfriend,Summer,2020,Anime,
000173,"76, 76","E Major, F# Major","Verse, Chorus",Kyuukyoku Unbalance,Afilia Saga,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",Winter,2020,Anime,
000174,138,E Major,,FIRST DROP,halca,Rent-a-Girlfriend,Summer,2020,Anime,
000175,"80, 80, 80","A# Major, C Major, A# Major","Intro, Verse, Chorus",WAKE UP HxEROS,"BURNOUT SYNDROMES, Yoshitsugu Matsuoka",SUPER HXEROS,Summer,2020,Anime,
000176,"95, 95","D# Major, C Major","Verse, Chorus",Torch of Liberty,KANA-BOON,Fire Force: Season 2,Summer,2020,Anime,
000177,82,F Major,,Plunderer,Miku Itou,Plunderer,Winter,2020,Anime,
000178,95,E Major,,Desire,PELICAN FANCLUB,Fire Force: Season 2,Summer,2020,Anime,
000179,124,C# Major,,BREAKING DAWN,Jae Joong,Noblesse,Fall,2020,Anime,
000180,91,F# Major,,Megumi no Ame,nagi yanagi,My Teen Romantic Comedy SNAFU Climax!,Summer,2020,Anime,
000181,"85, 85","C Major, G Major","Verse, Chorus",Tiny Light,Akari Kito,Toilet-Bound Hanako-kun,Winter,2020,Anime,
000182,96,D Major,,A Walk,Gakuto Kajiwara,Black Clover,Summer,2020,Anime,
000183,"76, 76, 76, 76","D Major, E Major, E Major, G Major","Verse, Chorus, Bridge, Chorus 2",homura,LiSA,Demon Slayer: Kimetsu no Yaiba: The Movie: Mugen Train,Fall,2020,Anime,
000184,88,E Major,,Crossing Road,Mai Fuchigami,Food Wars! The Fifth Plate,Spring,2020,Anime,
000185,87,D# Major,,Isekai Showtime,Isekai Quartet,Isekai Quartet 2,Winter,2020,Anime,
000186,"88, 88, 88, 88, 88","C# Major, E Major, E Major, G# Major, G# Major","Intro, Verse, Prechorus A, Prechorus B, Chorus",Kimi To Iu Shinhwa,"Jun Maeda, nagi yanagi",The Day I Became a God,Fall,2020,Anime,
000187,84,D# Major,,Kaze Fukeba Tsukiyo no Hate ni,AOP,Tsugu Tsugumomo,Spring,2020,Anime,
000188,81,D Major,,Kago no Naka ni Tori,yourness,"Sing ""Yesterday"" for Me",Spring,2020,Anime,
000189,70,D Major,,Centimeter,the peggies,Rent-a-Girlfriend,Summer,2020,Anime,
000190,73.5,F Major,,Ready To,Sumire Morohoshi,BNA: Brand New Animal,Spring,2020,Anime,
000191,87.5,D# Major,,NEW ERA,SixTONES,Yashahime: Princess Half-Demon,Fall,2020,Anime,
000192,"124, 124, 124, 124","F# Major, F# Major, F Major, F# Major","Intro, Verse, Chorus, Bridge",Nakayoshi! ○! Nakayoshi!,Chimame-tai,Is the Order a Rabbit? Bloom,Fall,2020,Anime,
000193,129,A Major,,Kimi ni Aeta Hi,"Akari Kito, Miku Ito",Adachi and Shimamura,Fall,2020,Anime,
000194,80,A Major,,Diamond Clarity,"Saori Hayami, Nao Toyama",My Teen Romantic Comedy SNAFU Climax!,Summer,2020,Anime,
000195,83,G# Major,,PARADOX,Sora Amamiya,"Science Fell in Love, So I Tried to Prove It",Winter,2020,Anime,
000196,85,D# Major,,DREAMIN' ON,Da-iCE,One Piece,Winter,2020,Anime,
000197,75,D Major,,Magic Words,Liyuu,Hatena Illusion,Winter,2020,Anime,
000198,"97.5, 97.5, 97.5","D# Major, D# Major, E Major","Verse, Chorus, Last Chorus",Hero Too,Chrissy Costanza,My Hero Academia: Season 4,Winter,2020,Anime,
000199,73,E Major,,Against.,Kaori Ishihara,Our Last Crusade or the Rise of a New World,Fall,2020,Anime,
000200,77,B Major,,Tenkuu Cafeteria,Petit Rabbit's,Is the Order a Rabbit? Bloom,Fall,2020,Anime,
000201,92.5,A# Major,,Kaikai Kitan,Eve,Kaikai Kitan,Fall,2020,Anime,
000202,138,B Major,,DADDY! DADDY! DO!,"Masayuki Suzuki, Airi Suzuki",Kaguya-sama: Love is War: Season 2,Spring,2020,Anime,
000203,125,C Major,,Memento,nonoc,Re:ZERO: Starting Life in Another World: Season 2,Summer,2020,Anime,
000204,90,G Major,,Nijiiro Passions!,Nijigasaki School Idol Club,Love Live! Nijigasaki High School Idol Club,Fall,2020,Anime,
000205,80,A Major,,SLUMP,Stray Kids,Tower of God,Spring,2020,Anime,
000206,71,G Major,,Turing Love,"Akari Nanawo, Sou","Science Fell in Love, So I Tried to Prove It",Winter,2020,Anime,
000207,70.5,F# Major,,Let’s Go To Paradise,"Yuusuke Kobayashi, Junji Majima, Miyu Tomita",Interspecies Reviewers,Winter,2020,Anime,
000208,"125, 125, 125","D Major, D Major, B Major","Verse, Chorus, Bridge",ID,CIDERGIRL,Fire Force: Season 2,Summer,2020,Anime,
000209,97.5,C# Major,,Tsuki to Hoshizora,"Yunomi, Tsukasa Yuzuki",Tonikaku Kawaii,Fall,2020,Anime,
000210,"88, 88","E Major, G Major","Verse, Chorus",I will…,Eir Aoi,Sword Art Online: Alicization: War of Underworld: Part 2,Summer,2020,Anime,
000211,110,G# Major,,Anti world,Kanako Takatsuki,I'm Standing on a Million Lives,Fall,2020,Anime,
000212,"101.5, 101.5, 101.5","E Major, G Major, E Major","Verse, Prechorus, Chorus",DiViNE,EXiNA,Blue Reflection Ray,Spring,2021,Anime,
000213,130,G Major,,Onnaji Kimochi.,Kiyono Yasuno,Restaurant to Another World 2,Fall,2021,Anime,
000214,89,C Major,,Wanna Fly?,Yoko Ishida,World Witches Take Off!,Winter,2021,Anime,
000215,"138, 138, 138, 138","A# Major, G Major, C Major, D# Major","Intro, Verse, Chorus, Bridge",Jinsei Easy?,DIALOGUE+,Bottom-Tier Character Tomozaki,Winter,2021,Anime,
000216,87.5,A# Major,,Like Flames,MindaRyn,That Time I Got Reincarnated as a Slime: Season 2: Part 2,Summer,2021,Anime,
000217,100,C# Major,,give it back,Co shu Nie,Jujutsu Kaisen,Winter,2021,Anime,
000218,93.5,D Major,,Kyoukaisen,amazarashi,86 Part 2,Fall,2021,Anime,
000219,72,D Major,,SHAKE! SHAKE! SHAKE!,Yuuma Uchida,Dr. Ramune: Mysterious Disease Specialist,Winter,2021,Anime,
000220,"90, 90, 90","E Major, E Major, F Major","Verse, Chorus, Last Chorus",Yuke,LiSA,Sword Art Online the Movie: Progressive: Aria of a Starless Night,,2021,Anime,
000221,91,C# Major,,Kokoro Hayaru,Akane Kumada,Drug Store in Another World: The Slow Life of a Cheat Pharmacist,Summer,2021,Anime,
000222,90,C# Major,,Only one yell,9-tie,Selection Project,Fall,2021,Anime,
000223,90,F Major,,ODDTAXI,"PUNPEE, Skirt",Odd Taxi,Spring,2021,Anime,
000224,70,F Major,,Shirushibi,nagi yanagi,The Faraway Paladin,Fall,2021,Anime,
000225,85,D# Major,,Otogibanashi no Youna Kiseki,Aoi Kubo,Deiji Meets Girl,Fall,2021,Anime,
000226,"93, 93, 93, 93, 93","B Major, B Major, G Major, A Major, A Major","Verse, Prechorus A, Prechorus B, Chorus, Bridge",Zankoku na Yume to Nemure,Minami Kuribayashi,Redo of Healer,Winter,2021,Anime,
000227,136,D Major,,freeze,flumpool,Seven Knights Revolution: Hero Successor,Spring,2021,Anime,
000228,100,D# Major,,Mahi,yama,2.43: Seiin High School Boys Volleyball Team,Winter,2021,Anime,
000229,93,G Major,,Rinne,V.W.P,Muv-Luv Alternative,Fall,2021,Anime,
000230,"120.67, 120.67","B Major,  C Major","Verse, Chorus",takt,Mafumafu,takt op.Destiny,Fall,2021,Anime,
000231,128,G# Major,,Grandeur,Snow Man,Black Clover,Winter,2021,Anime,
000232,"87.5, 87.5, 87.5","A Major, G Major, F# Major","Verse, Prechorus, Chorus",Susume! Mujina Company,"Hisako Kanemoto, Rina Hidaka, Sumire Uesaka",Cute Executive Officer,Winter,2021,Anime,
