SECTION_ID,SONG_ID,PART,BPM,KEY,SECTION_ORDER
706,478,Full Song,128.0,G Major,1
707,479,Verse,100.0,B Major,1
708,479,Chorus,100.0,C# Major,2
709,480,Full Song,93.0,F Major,1
710,481,Verse,80.0,A Major,1
711,481,Chorus,80.0,F# Major,2
712,482,Full Song,94.0,F# Major,1
713,483,Full Song,118.0,F# Major,1
714,484,Full Song,72.5,G# Major,1
715,485,Full Song,73.5,G Major,1
716,486,Full Song,135.0,G# Major,1
717,487,Full Song,76.5,D# Major,1
718,488,Full Song,128.0,B Major,1
719,489,Verse,71.5,A# Major,1
720,489,Chorus,71.5,A# Major,2
721,489,Verse 2,84.5,A# Major,3
722,490,Verse,122.0,F# Major,1
723,490,Chorus,122.0,G# Major,2
724,491,Full Song,106.0,E Major,1
725,492,Verse,80.0,A Major,1
726,492,Chorus,80.0,C Major,2
727,493,Full Song,93.0,G Major,1
728,494,Full Song,129.0,D Major,1
729,495,Verse,70.5,C Major,1
730,495,Chorus,70.5,G Major,2
731,496,Full Song,105.0,F Major,1
732,497,Full Song,139.0,D# Major,1
733,498,Full Song,110.0,F# Major,1
734,499,Full Song,136.0,E Major,1
735,500,Full Song,133.0,F Major,1
736,501,Full Song,83.0,B Major,1
737,502,Full Song,84.0,D Major,1
738,503,Full Song,85.0,C# Major,1
739,504,Full Song,87.5,E Major,1
740,505,Full Song,135.0,D# Major,1
741,506,Intro,75.0,F Major,1
742,506,Intro Drop A,75.0,D Major,2
743,506,Intro Drop B,75.0,F Major,3
744,506,Verse,75.0,F Major,4
745,506,Prechorus,75.0,A# Major,5
746,506,Chorus,75.0,A# Major,6
747,506,Last Chorus,75.0,F Major,7
748,507,Intro,126.0,C Major,1
749,507,Verse,126.0,A# Major,2
750,507,Chorus,126.0,C Major,3
751,508,Full Song,95.5,F Major,1
752,509,Verse,130.0,E Major,1
753,509,Chorus,130.0,F Major,2
754,510,Full Song,89.0,G Major,1
755,511,Full Song,105.0,D# Major,1
756,512,Full Song,74.0,F Major,1
757,513,Full Song,100.0,G Major,1
758,514,Full Song,80.0,B Major,1
759,515,Full Song,125.0,F# Major,1
760,516,Full Song,95.0,F Major,1
761,517,Full Song,79.0,G# Major,1
762,518,Intro,71.5,G# Major,1
763,518,Verse,71.5,F Major,2
764,518,Prechorus A,71.5,F Major,3
765,518,Prechorus B,71.5,G# Major,4
766,518,Chorus,71.5,G# Major,5
767,519,Verse,92.5,A Major,1
768,519,Prechorus A,92.5,A Major,2
769,519,Prechorus B,92.5,C Major,3
770,519,Chorus,92.5,A Major,4
771,520,Full Song,94.0,A# Major,1
772,521,Verse,72.5,A Major,1
773,521,Prechorus,72.5,F# Major,2
774,521,Chorus,72.5,F# Major,3
775,522,Full Song,99.0,E Major,1
776,523,Full Song,100.0,F Major,1
777,524,Verse,76.0,C# Major,1
778,524,Chorus,76.0,D Major,2
779,525,Verse,70.0,D# Major,1
780,525,Chorus,70.0,F# Major,2
781,526,Verse,75.0,F# Major,1
782,526,Prechorus,75.0,A Major,2
783,526,Chorus,75.0,F# Major,3
784,526,Verse 2,75.0,A Major,4
785,527,Verse,91.0,C Major,1
786,527,Prechorus,91.0,F Major,2
787,527,Chorus,91.0,D# Major,3
788,528,Verse,124.0,C Major,1
789,528,Chorus,124.0,F Major,2
790,529,Full Song,108.0,G Major,1
791,530,Verse,99.0,C Major,1
792,530,Chorus,99.0,F Major,2
793,531,Full Song,137.0,F# Major,1
794,532,Full Song,75.0,D# Major,1
795,533,Verse,95.0,E Major,1
796,533,Chorus,95.0,G Major,2
797,534,Verse,83.0,A Major,1
798,534,Prechorus,83.0,D Major,2
799,534,Chorus,83.0,D# Major,3
800,535,Intro,90.0,D Major,1
801,535,Intro Drop,90.0,F Major,2
802,535,Verse,90.0,F# Major,3
803,535,Prechorus,90.0,A Major,4
804,535,Chorus,90.0,F# Major,5
805,535,Last Chorus,90.0,G Major,6
806,536,Full Song,90.5,D# Major,1
807,537,Verse,94.0,B Major,1
808,537,Chorus,94.0,C Major,2
809,538,Full Song,92.0,E Major,1
810,539,Full Song,120.0,E Major,1
811,540,Full Song,72.0,D Major,1
812,541,Full Song,72.5,D# Major,1
813,542,Full Song,70.0,F Major,1
814,543,Full Song,85.5,D# Major,1
815,544,Full Song,100.0,D Major,1
816,545,Full Song,135.0,A# Major,1
817,546,Full Song,70.0,E Major,1
818,547,Verse,124.0,E Major,1
819,547,Chorus,124.0,D# Major,2
820,548,Full Song,102.0,F# Major,1
821,549,Intro,120.0,G Major,1
822,549,Verse,120.0,E Major,2
823,549,Prechorus,120.0,G Major,3
824,549,Chorus,120.0,G Major,4
825,550,Verse,87.0,D Major,1
826,550,Chorus,88.5,D Major,2
827,551,Full Song,88.0,A Major,1
828,552,Full Song,88.0,E Major,1
829,553,Verse,90.0,B Major,1
830,553,Prechorus,90.0,G# Major,2
831,553,Chorus,90.0,G# Major,3
832,554,Verse,110.0,D# Major,1
833,554,Chorus,110.0,C# Major,2
834,554,Verse 2,110.0,C# Major,3
835,554,Chorus 2,110.0,F# Major,4
836,554,Outro,77.0,C# Major,5
837,555,Full Song,135.0,D Major,1
838,556,Full Song,70.0,C Major,1
839,557,Full Song,138.0,G# Major,1
840,558,Intro,86.0,E Major,1
841,558,Verse,86.0,B Major,2
842,558,Chorus,86.0,E Major,3
843,559,Full Song,101.5,F Major,1
844,560,Full Song,120.0,F Major,1
845,561,Full Song,96.5,C# Major,1
846,562,Full Song,98.5,D# Major,1
847,563,Full Song,81.5,C Major,1
848,564,Verse,72.5,D# Major,1
849,564,Chorus,72.5,F# Major,2
850,565,Full Song,80.0,D Major,1
851,566,Verse,132.0,F Major,1
852,566,Chorus,132.0,G# Major,2
853,567,Full Song,91.5,D Major,1
854,568,Full Song,115.0,E Major,1
855,569,Full Song,88.5,G Major,1
856,570,Full Song,125.0,A Major,1
857,571,Verse,104.0,A Major,1
858,571,Chorus,104.0,F# Major,2
859,572,Full Song,90.0,B Major,1
860,573,Full Song,97.5,D# Major,1
861,574,Verse,97.5,F Major,1
862,574,Chorus,97.5,G Major,2
863,575,Full Song,83.5,E Major,1
864,576,Full Song,95.0,C Major,1
865,577,Full Song,80.0,G Major,1
866,578,Verse,120.0,A# Major,1
867,578,Chorus,120.0,G Major,2
868,579,Full Song,81.5,C Major,1
869,580,Full Song,71.5,D Major,1
870,581,Intro,91.0,G# Major,1
871,581,Verse,91.0,C Major,2
872,581,Prechorus,91.0,D# Major,3
873,581,Chorus,91.0,G# Major,4
874,582,Verse,126.0,D Major,1
875,582,Prechorus A,126.0,D Major,2
876,582,Prechorus B,126.0,D# Major,3
877,582,Prechorus C,126.0,E Major,4
878,582,Chorus,126.0,A# Major,5
879,583,Verse,72.0,F Major,1
880,583,Chorus,72.0,B Major,2
881,584,Full Song,84.5,A Major,1
882,585,Verse,137.0,A Major,1
883,585,Chorus,137.0,D Major,2
884,586,Full Song,111.0,G# Major,1
885,587,Full Song,132.0,F Major,1
886,588,Full Song,80.0,C# Major,1
887,589,Full Song,129.0,C# Major,1
888,590,Verse,137.0,B Major,1
889,590,Chorus,137.0,G# Major,2
890,591,Full Song,92.5,D Major,1
891,592,Verse,83.5,E Major,1
892,592,Chorus,83.5,G Major,2
893,593,Full Song,74.0,D# Major,1
894,594,Full Song,117.0,F Major,1
895,595,Verse,89.0,A Major,1
896,595,Prechorus,89.0,C Major,2
897,595,Chorus,89.0,C Major,3
898,596,Full Song,137.0,E Major,1
899,597,Full Song,87.5,F# Major,1
900,598,Verse A,90.0,C# Major,1
901,598,Verse B,90.0,G# Major,2
902,598,Prechorus,90.0,C# Major,3
903,598,Chorus,90.0,A Major,4
904,599,Full Song,82.5,F Major,1
905,600,Full Song,125.0,G# Major,1
906,601,Full Song,110.0,F Major,1
907,602,Full Song,91.5,B Major,1
908,603,Full Song,71.0,D# Major,1
909,604,Full Song,90.0,C Major,1
910,605,Full Song,77.5,G# Major,1
911,606,Full Song,90.0,D# Major,1
912,607,Full Song,98.5,D Major,1
913,608,Full Song,75.0,G Major,1
914,609,Full Song,78.5,F Major,1
915,610,Full Song,92.0,C Major,1
916,611,Full Song,137.0,B Major,1
917,612,Full Song,102.5,G# Major,1
918,613,Full Song,98.0,F Major,1
919,614,Full Song,90.0,C Major,1
920,615,Full Song,124.0,G# Major,1
921,616,Full Song,110.0,G Major,1
922,617,Full Song,77.5,G Major,1
923,618,Verse,104.0,F Major,1
924,618,Chorus,104.0,D Major,2
925,619,Full Song,70.5,E Major,1
926,620,Full Song,90.0,C# Major,1
927,621,Verse,74.0,F Major,1
928,621,Chorus,74.0,G# Major,2
929,622,Full Song,133.0,G# Major,1
930,623,Full Song,80.0,C Major,1
931,624,Full Song,77.5,F# Major,1
932,625,Verse A,100.0,F Major,1
933,625,Verse B,100.0,D# Major,2
934,625,Prechorus,100.0,A Major,3
935,625,Chorus,100.0,A Major,4
936,626,Verse,117.25,G# Major,1
937,626,Chorus,117.25,F Major,2
938,627,Intro,102.0,C# Major,1
939,627,Verse A,102.0,C# Major,2
940,627,Verse B,102.0,F Major,3
941,627,Prechorus,102.0,B Major,4
942,627,Chorus,102.0,E Major,5
943,627,Prechorus 2,102.0,G# Major,6
944,628,Full Song,91.0,G Major,1
945,629,Full Song,78.5,G Major,1
946,630,Full Song,120.0,G Major,1
947,631,Full Song,80.0,F Major,1
948,632,Full Song,77.5,C# Major,1
949,633,Verse,74.0,C Major,1
950,633,Chorus,74.0,D# Major,2
951,634,Full Song,87.5,B Major,1
952,635,Full Song,72.5,G# Major,1
953,636,Full Song,84.0,D# Major,1
954,637,Full Song,73.0,G# Major,1
955,638,Full Song,124.0,E Major,1
956,639,Verse,71.0,A# Major,1
957,639,Prechorus,71.0,D Major,2
958,639,Chorus,71.0,A# Major,3
959,640,Full Song,75.0,C Major,1
960,641,Full Song,92.0,D# Major,1
961,642,Intro,90.0,E Major,1
962,642,Verse A,90.0,D Major,2
963,642,Verse B,90.0,F Major,3
964,642,Verse C,90.0,D Major,4
965,642,Verse D,90.0,F Major,5
966,642,Chorus,90.0,E Major,6
967,642,Verse 2,90.0,F Major,7
968,642,Bridge,90.0,E Major,8
969,643,Intro,122.0,E Major,1
970,643,Verse,122.0,C# Major,2
971,643,Chorus,122.0,E Major,3
972,644,Verse,122.0,C Major,1
973,644,Chorus,122.0,D Major,2
974,645,Full Song,79.0,G Major,1
975,646,Verse,86.0,E Major,1
976,646,Chorus,86.0,F# Major,2
977,647,Full Song,74.5,E Major,1
978,648,Verse,71.0,E Major,1
979,648,Chorus,71.0,C# Major,2
980,649,Intro,77.33,D Major,1
981,649,Verse A,102.0,F Major,2
982,649,Verse B,102.0,G# Major,3
