id,title,artist,type,origin,season,year,notes
1347,Zannen Kei Rinjin Bu,,Anime,,,,
1348,Ranbu no Melody,,Anime,,,,
1349,JINGO JUNGLE,,Anime,,,,
1350,Racing into the Night,,Anime,,,,
1351,Reason Living,,Anime,,,,
1352,Kuusou Mesorogiwi,,Anime,,,,
1353,Grand Blue,,Anime,,,,
1354,JUSTadICE,,Anime,,,,
1355,Blade of Hope,,Anime,,,,
1356,Dear Teardrop,,Anime,,,,
1357,Fanfare,,Anime,,,,
1358,99,,Anime,,,,
1359,ZERO!!,,Anime,,,,
1360,Gurenge,,Anime,,,,
1361,Moffumoffu,,Anime,,,,
1362,Aoi Shiori,,Anime,,,,
1363,My Love,,Anime,,,,
1364,COLORS,,Anime,,,,
1365,KISS OF DEATH,,Anime,,,,
1366,Imagination,,Anime,,,,
1367,HIKARI,,Anime,,,,
1368,Answer,,Anime,,,,
1369,BYE BYE YESTERDAY,,Anime,,,,
1370,Core Pride,,Anime,,,,
1371,Kawaki no Ameku,,Anime,,,,
1372,Pink Lemonade,,Anime,,,,
1373,Renegade,,Anime,,,,
1374,Wake up,AAA,Anime,One Piece,,,
1375,DeCIDE,,Anime,,,,
1376,sky and blue,,Anime,,,,
1377,unfinished,,Anime,,,,
1378,HARUKAZE,,Anime,,,,
1379,Gamushara,Miyuna,Anime,,,,
1380,Sacred world,,Anime,,,2020,
1381,Arigato wa Kocchi,,Anime,,,2020,
1382,dual existence,,Anime,,,2020,
1383,Mononoke in the Fiction,,Anime,In/Spectre,,2020,
1384,Mr. Fixer,,Anime,,,2020,
1385,final phase,,Anime,,,2020,
1386,Shiny Happy Days,,Anime,NekoPara,,2020,
1387,Suzuki,,Anime,,,2020,
1388,Gomakashi,,Anime,,,2020,
1389,I got it!,,Anime,,,2020,
1390,Clover,,Anime,Arte,,2020,
1391,graphite diamond,,Anime,,,2020,
1392,Nadamesukashi Negotiation,,Anime,Uzaki Wants to Hangout,,2020,
1393,Koi no Uta,"Yunomi, Akari Kito",Anime,Tonikaku Kawaii,,2020,
1394,Watashitachi no,,Anime,,,2020,
1395,over and over,,Anime,DanMachi,,2020,
1396,into the blue's,,Anime,,,2020,
1397,Easy Breezy,,Anime,,,2020,
1398,CHAIN,,Anime,Darwin's Game,,2020,
1399,PRISM,,Anime,Fruits Basket,,2020,
1400,Phantom Joke,UNISON SQUARE GARDEN,Anime,,,2020,
1401,Toppakou,,Anime,Haikyuu!,To The Top,2020,
1402,STEAL!!,,Anime,,,2020,
1403,Literature,Reina Ueda,Anime,,,2020,
1404,Chiisana Hibi,,Anime,Kakushigoto,,2020,
1405,Chaos Drifters,,Anime,,,2020,
1406,Muzui,,Anime,,,2020,
1407,I believe what you,,Anime,,,2020,
1408,Curtain Call,,Anime,,Summer,2024,
1409,Kouya ni Sake yo,,Anime,,Summer,2024,
1410,No Complete,,Anime,,Summer,2024,
1411,UNDEAD,,Anime,,Summer,2024,"Past, future; can't…"
1412,KATAWARA,,Anime,,Summer,2024,
1413,The Battle,,Anime,,Summer,2024,
1414,Black Box,,Anime,,Summer,2024,
1415,Homunculus,,Anime,,Summer,2024,
1416,Sign,,Anime,,Summer,2024,
1417,Fatal,GEMN,Anime,Oshi no Ko: Season 2 ,Summer,2024,You're the fatal
1418,Sweet Memory,,Anime,,Summer,2024,
1419,Gimme Gimme,,Anime,,Summer,2024,
1420,Harebare!,,Anime,,Summer,2024,
1421,Cheer for you!,,Anime,,Summer,2024,
1422,Plan A,,Anime,,Summer,2024,
1423,Yururing Travel,,Anime,,Summer,2024,
1424,Virtual Showtime,,Anime,,Summer,2024,
1425,Akaneko,,Anime,,Summer,2024,
1426,FACELESS,,Anime,,Summer,2024,
1427,Hazure,,Anime,,Summer,2024,ooh-oohh…
1428,AMBITION,,Anime,,Summer,2024,
1429,Sekai Rinne,,Anime,,Summer,2024,
1430,Charge!,,Anime,,Summer,2024,
1431,Kaishin no Ichigeki,,Anime,,Summer,2024,
1432,Blouse,,Anime,,Summer,2024,doo-doo
1433,Up Start,,Anime,,Summer,2024,
1434,LOVE & JUSTICE,,Anime,,Summer,2024,
1435,1-ban Kagayaku Hoshi,,Anime,,Summer,2024,
1436,Shikairo Days,,Anime,,Summer,2024,shikanoko
1437,Crank Up,,Anime,,Summer,2024,
1438,Unmei-sen de,,Anime,,Summer,2024,
1439,Fried Pride,,Anime,,Summer,2024,
1440,gifted,,Anime,,Summer,2024,
1441,Story,,Anime,,Summer,2024,
1442,Burning,,Anime,,Summer,2024,
1443,Secret Operation,,Anime,,Summer,2024,
1444,Fire and Fear,,Anime,,Summer,2024,wo-oah…
1445,EMPEROR TIME,,Anime,,Summer,2024,
1446,Running in my Head,,Anime,,Summer,2024,
1447,WILLSHINE,,Anime,,Summer,2024,
1448,Kanjou Kakumei,,Anime,,Summer,2024,
1449,RISE UP,,Anime,,Summer,2024,Stems: Intro
1450,Okaerinasai,,Anime,,Summer,2024,
1451,Switch,,Anime,,Summer,2024,
1452,caramel ribbon cursetard,,Anime,,Summer,2024,
1453,Senaka Awase,,Anime,,Summer,2024,
1454,Tsuyogaru Girl,,Anime,,Summer,2024,Make! Make! Make!
1455,Ano Hikari,,Anime,,Summer,2024,a-no-hi-ka-ri; la-la-la
1456,Kamakura STYLE,,Anime,,Summer,2024,
1457,Go-Getters,,Anime,,Summer,2024,
1458,Micro Revolution,,Anime,,Summer,2024,
1459,Mikansei Rendezvous,,Anime,,Summer,2024,
1460,Shukumei,,Anime,,Summer,2024,
1461,Parallel na Heart,,Anime,,Summer,2024,"la-la-la, wo-oah yeah"
1462,Wagamama,,Anime,,Summer,2024,
1463,Chiisana Tsubomi,,Anime,,Summer,2024,
1464,Might Just,,Anime,,Summer,2024,
1465,Ctrl+C,,Anime,,Summer,2024,
1466,Shutter Chance,,Anime,,Summer,2024,
1467,Tenshi-tachi no Uta,fhana,Anime,,Summer,2024,
1468,Renacer Serenade,,Anime,,Summer,2024,
1469,Shura Nikki,,Anime,,Summer,2024,
1470,QUEEN,,Anime,,Fall,2024,
1471,Teenage Blue,Eve,Anime,Blue Box,Fall,2024,
1472,TAIDADA,,Anime,,Fall,2024,
1473,Feedback wo Narash,,Anime,,Fall,2024,
1474,Iinazukkyun,,Anime,,Fall,2024,
1475,Never Never,,Anime,,Fall,2024,
1476,Across Universe,,Anime,,Fall,2024,
1477,Fragum,,Anime,,Fall,2024,
1478,Only One Story,,Anime,,Fall,2024,
1479,Auftakt,,Anime,,Fall,2024,
1480,YOU GOTTA RUN,,Anime,,Fall,2024,
1481,Beat the odds,,Anime,,Fall,2024,
1482,KiraKira,,Anime,,Fall,2024,
1483,Fly Higher,,Anime,,Fall,2024,
1484,Kinoko Inu,,Anime,,Fall,2024,
1485,Saikyou? Saikou!,,Anime,,Fall,2024,
1486,Ebizori Turn!,,Anime,,Fall,2024,
1487,Unending Wish,,Anime,,Fall,2024,
1488,Chaser,,Anime,,Fall,2024,
1489,Ao,,Anime,,Fall,2024,
1490,Suikou Setten,,Anime,,Fall,2024,
1491,Yawaku Koishite,,Anime,,Fall,2024,
1492,Bad Du Du Du,,Anime,,Fall,2024,
1493,Gyumu!,,Anime,,Fall,2024,
1494,nina,,Anime,,Fall,2024,
1495,Otonoke,,Anime,,Fall,2024,
1496,LUCID DREAM,,Anime,,Fall,2024,
1497,GG,,Anime,,Fall,2024,
1498,Narrative,,Anime,,Fall,2024,
1499,NIGHT,,Anime,,Fall,2024,
1500,Wake Up,,Anime,,Fall,2024,
1501,Prism Flare,,Anime,,Fall,2024,
1502,We Go! ~Mugiwara,,Anime,,Fall,2024,
1503,Iranai mono,,Anime,,Fall,2024,
1504,Henshin,,Anime,,Fall,2024,
1505,Merry-Go-Round T,,Anime,,Fall,2024,
1506,Shounen,,Anime,,Fall,2024,
1507,Let's be ONE,,Anime,,Fall,2024,
1508,Kattou Tomorrow,,Anime,,Fall,2024,
1509,Ashita Sekai ga Owa,,Anime,,Fall,2024,
1510,Alca,,Anime,,Fall,2024,
1511,Tactics,,Anime,,Fall,2024,
1512,Kaijuu,,Anime,,Fall,2024,
1513,Kotoba ni Sezutomo,,Anime,,Fall,2024,
1514,Reweave,,Anime,,Fall,2024,
1515,ROCK ME KISS ME,,Anime,,Fall,2024,
1516,Seven pieces,,Anime,,Fall,2024,
1517,Brave one,,Anime,,Fall,2024,
1518,Tsugihagi no Tsubasa,,Anime,2.5 Dimensional Seduction,Fall,2024,
1519,Boujaku no Charisma,,Anime,,Fall,2024,
1520,Order Made,,Anime,,Fall,2024,
1521,Tsugihagi no Tsubasa,,Anime,,Fall,2024,
1522,Kyozou,,Anime,,Fall,2024,
1523,Hollow,,Anime,,Fall,2024,
1524,RE RESCUE,,Anime,,Fall,2024,
1525,ODD NUMBER,,Anime,,Fall,2024,
1526,SKILLAWAKE,,Anime,,Fall,2024,
1527,Anta Nante.,,Anime,,Fall,2024,
1528,Little Lovers,,Anime,,Fall,2024,
1529,Awaku Kasuka,,Anime,,Fall,2024,
1530,"Hayo, New World.",,Anime,,Fall,2024,
1531,VORTEX,,Anime,,Fall,2024,
1532,Gambling Hall,,Anime,,Fall,2024,
1533,UNDER and OVER,,Anime,,Fall,2024,
1534,Fuuka,,Anime,,Fall,2024,
1535,Same Blue,,Anime,,Fall,2024,
1536,MMH,,Anime,,Fall,2024,
1537,Ai no Reunion,,Anime,,Fall,2024,
1538,Together Forever,,Anime,,Fall,2024,
1539,Sailing,,Anime,,Fall,2024,
1540,Otozure,,Anime,,Fall,2024,
1541,Jaka Jaan,,Anime,,Fall,2024,
1542,Show,,Anime,,Fall,2024,
1543,Cosmic Treat,,Anime,,Fall,2024,
1544,Endless Happy End,,Anime,,Fall,2024,
1545,Ito,,Anime,,Fall,2024,
1546,Icchokusen Daisaku,,Anime,,Fall,2024,
1547,Kamihikouki,,Anime,,Winter,2025,
1548,Rourou,,Anime,,Winter,2025,
1549,Uni:Birth,,Anime,,Winter,2025,
1550,Bakesou na Kokoro,,Anime,,Winter,2025,
1551,Year N,,Anime,,Winter,2025,
1552,POP UP!,,Anime,,Winter,2025,
1553,Sketch,,Anime,,Winter,2025,rurira-rurira
1554,Hyakka Ryouran,Lilas Ikuta,Anime,Apothecary Diaries,Winter,2025,drums; pa-pa-ra; ahh
1555,L'oN,,Anime,,Winter,2025,oh-wo-o-oah
1556,Tasokare,,Anime,,Winter,2025,
1557,Contrast,,Anime,,Winter,2025,
1558,RUN SAKAMOTO RUN,,Anime,,Winter,2025,
1559,Gotoubun no Egao,,Anime,,Winter,2025,
1560,Compass,,Anime,,Winter,2025,
1561,Hajimari no Mirai,,Anime,,Winter,2025,
1562,sense of pain,,Anime,,Winter,2025,ahh...
1563,Sousei no Aquarion,,Anime,,Winter,2025,
1564,Meramera,,Anime,,Winter,2025,oh-ohh...
1565,Enter,,Anime,,Winter,2025,
1566,over the top,,Anime,,Winter,2025,
1567,Saijoukyuu no Koko,,Anime,,Winter,2025,
1568,"Koibito Ijou, Suki Miman",,Anime,,Winter,2025,ah-a-ha; wo-oah
1569,Atashi no Dress,,Anime,,Winter,2025,
1570,Perfect Day,,Anime,,Winter,2025,"la-la-la, la-la-la"
1571,Oishii Survivor,,Anime,,Winter,2025,This is a story
1572,Saraba,,Anime,,Winter,2025,(guitars)
1573,Life is Beautiful,,Anime,,Winter,2025,
1574,Unsung ballad,,Anime,,Winter,2025,
1575,Zen,,Anime,,Winter,2025,ooh-woohh..
1576,Kimi to Idol Precure,,Anime,,Winter,2025,
1577,Dai Dai Daisuki,,Anime,,Winter,2025,
1578,Wonderlust!!,,Anime,,Winter,2025,
1579,SCOPE,,Anime,,Winter,2025,
1580,Palette Days,,Anime,,Winter,2025,
1581,Zainin,,Anime,,Winter,2025,
1582,Hebi,,Anime,,Winter,2025,
1583,True Peak,,Anime,,Winter,2025,
1584,Jibun Kakumei,,Anime,,Winter,2025,
1585,Pray Pray Pray,,Anime,,Winter,2025,
1586,BURN,,Anime,,Winter,2025,
1587,Dokkin Mahoutsukai,,Anime,,Winter,2025,
1588,Bloody Liar,,Anime,,Winter,2025,
1589,BOW AND ARROW,,Anime,,Winter,2025,
1590,Ichijitsusenshu,,Anime,,Winter,2025,
1591,Kimi to Shika Koishi,,Anime,,Winter,2025,
1592,Zero Ignition,,Anime,,Winter,2025,
1593,Treasure!,,Anime,,Winter,2025,
1594,"Arigato, Daisuki ni N",,Anime,,Winter,2025,
1595,Frontiers,,Anime,,Winter,2025,3-2-1; what you wan
1596,NEET in Jam,,Anime,,Winter,2025,"hey, hey, hey"
1597,Kinnikuman Hero,,Anime,,Winter,2025,
1598,Cuz I,,Anime,,Winter,2025,
1599,Ano ne,,Anime,,Winter,2025,oh-woah...
1600,Horizon,,Anime,,Winter,2025,
1601,CASANOVA POSSE,,Anime,,Winter,2025,"woah, yeah"
1602,A Happy Promise,,Anime,,Winter,2025,
1603,realitYhurts.,,Anime,,Winter,2025,(Synths); la-la-la
1604,KILLKISS,,Anime,,Winter,2025,
1605,Crescendo,,Anime,,Winter,2025,
1606,Kirameki,,Anime,,Winter,2025,
1607,The Eye,,Anime,,Winter,2025,
1608,Risoukyo,,Anime,,Winter,2025,
1609,Make It Count,,Anime,,Winter,2025,Gonna make it count
1610,Magic Hour,,Anime,,Winter,2025,"oh yeah, yeah; aye"
1611,Isekai Kyousoukyoku,,Anime,,Winter,2025,
1612,OOKAMI,,Anime,,Winter,2025,
1613,ReawakeR,,Anime,,Winter,2025,
1614,But No Love,,Anime,,Winter,2025,Woah-oah
1615,GIVE & TAKE,,Anime,,Winter,2025,
1616,Choose!!,,Anime,,Winter,2025,
1617,Ame Tokimeki Koi,,Anime,,Winter,2025,
1618,Shujinkou ni Narou!,,Anime,,Winter,2025,jibun shidai da ze
1619,Bravely Dance,,Anime,,Winter,2025,It's time to go
1620,Maji de Sekai Kaech,,Anime,,Spring,2025,ah-ahh...
1621,Daijoubu,,Anime,,Spring,2025,
1622,Summertime Ghost,,Anime,,Spring,2025,wo-oah...; ah-hah...
1623,Aufheben,,Anime,,Spring,2025,wo-woah...
1624,Mahou wa Spice,,Anime,,Spring,2025,
1625,Alka Tale,,Anime,,Spring,2025,
1626,Yaren no? Endless,,Anime,,Spring,2025,
1627,Tabi Shiyo! Don't You,,Anime,,Spring,2025,
1628,Kekka Orai,,Anime,,Spring,2025,"get-get, it's alright"
1629,FACSTORY,,Anime,,Spring,2025,
1630,Everyday Host,,Anime,,Spring,2025,
1631,Sugosugi Maebashi,,Anime,,Spring,2025,
1632,Hurray!!,,Anime,,Spring,2025,
1633,"Shitsumon, Koi tte N",,Anime,,Spring,2025,oi!
1634,Clockwork Flowers,,Anime,,Spring,2025,
1635,Ninkoro Dance,,Anime,,Spring,2025,nin-nin-nin
1636,Ie de Yeah! Tte Age,,Anime,,Spring,2025,
1637,Uchuu-teki Mystery,,Anime,,Spring,2025,"ta-ta, ta-ta, ta-tan"
1638,Illuminate,,Anime,,Spring,2025,
1639,Yume ja Nai nara N,,Anime,,Spring,2025,ohh...
1640,Plazma,,Anime,,Spring,2025,oh... Oh...
1641,HIGH FLAME,,Anime,,Spring,2025,guitar; drums; la-la-la
1642,So Lucky,,Anime,,Spring,2025,
1643,Light Maker,,Anime,,Spring,2025,
1644,Drops,,Anime,,Spring,2025,
1645,Rise,,Anime,,Spring,2025,it's all about to rise
1646,Ring Ring Ring,,Anime,,Spring,2025,
1647,KINGSBLOOD,,Anime,,Spring,2025,
1648,Ballpark de Shake!,,Anime,,Spring,2025,1-2-3-4-5; let's go; wo
1649,Wish,,Anime,,Spring,2025,
1650,Ready to Rock,,Anime,,Spring,2025,
1651,Shoudou,,Anime,,Spring,2025,
1652,HEROES,,Anime,,Spring,2025,
1653,Fushigi na Kimi,,Anime,,Spring,2025,
1654,Hakudou,,Anime,,Spring,2025,
1655,Binetsuma ,,Anime,,Spring,2025,
1656,Midnight Reflection,,Anime,,Spring,2025,
1657,Honey Lemon,,Anime,,Spring,2025,
1658,Omoi Ai,,Anime,,Spring,2025,
1659,Zettai Utahime Seng,,Anime,,Spring,2025,"3, 2, 1"
1660,BOYZ,,Anime,,Spring,2025,
1661,The 1,,Anime,,Spring,2025,
1662,AXCLUSION,,Anime,,Spring,2025,
1663,Lazarus,,Anime,,Spring,2025,
1664,Tenshi to Akuma,,Anime,,Spring,2025,
1665,BLADE,,Anime,,Spring,2025,
1666,Ai Uta,,Anime,,Spring,2025,
1667,Singularist,,Anime,,Spring,2025,
1668,Vortex,,Anime,,Spring,2025,
1669,Speed,,Anime,,Spring,2025,
1670,heart,,Anime,,Spring,2025,
1671,Koeru,,Anime,,Spring,2025,
1672,Kaseijin,,Anime,,Spring,2025,
1673,Aitoka.,,Anime,,Spring,2025,
1674,Kiiro Shingou,,Anime,,Spring,2025,
1675,Yokan,,Anime,,Spring,2025,
1676,Gegege no Kitarou,,Anime,,Spring,2025,
1677,Skirt,,Anime,,Spring,2025,
1678,GRIDOUT,,Anime,,Spring,2025,
1679,MONTAGE,,Anime,,Spring,2025,
1680,TWILIGHT!!!,,Anime,,Spring,2025,
1681,Sonna Mon ne,,Anime,,Spring,2025,
1682,MAISIE,,Anime,,Spring,2025,
1683,Twilight,,Anime,,Spring,2025,
1684,INERTIA,,Anime,,Spring,2025,
1685,Watch me!,YOASOBI,Anime,,Spring,2025,"3, 2, 1"
1686,"Kanojo wa Ima, Mei",,Anime,,Spring,2025,
1687,Many Merry Memori,,Anime,,Spring,2025,woo!
1688,Sou,,Anime,,Spring,2025,wo-woah...
1689,Mou Dou Natte mo,,Anime,,Spring,2025,
1690,Continue,,Anime,,Spring,2025,
1691,GET BACK,,Anime,,Spring,2025,ah-ah...
1692,Brand New Day,,Anime,,Spring,2025,
1693,Kusushiki,Mrs. GREEN APPLE,Anime,Apothecary Diaries: Season 2,Spring,2025,"yuy-yuy; mm, mm"
1694,Baby Baby Baby,,Anime,,Spring,2025,
1695,Taiyou ga Noboronai,Aimer,Anime,,Summer,2025,
1696,Method,,Anime,,Summer,2025,
1697,Tenden Barbara,,Anime,,Summer,2025,
1698,SUPERNOVA,,Anime,,Summer,2025,
1699,Kagome Kagome,,Anime,,Summer,2025,"ooh, oohh..."
1700,Manazashi wa Hikari,,Anime,,Summer,2025,
1701,Tokihanate,,Anime,,Summer,2025,ichi-ni-san; u-wa-a
1702,My way,,Anime,,Summer,2025,
1703,Super Big Love,,Anime,,Summer,2025,
1704,Kamidanomi,,Anime,,Summer,2025,
1705,Saikai,,Anime,,Summer,2025,"hah, hah, ha-ah..."
1706,Happy Lucky Chappy,,Anime,,Summer,2025,
1707,GORIGORI Feez-e Girl,,Anime,,Summer,2025,
1708,What is Justice?,,Anime,,Summer,2025,
1709,Seishun Towa,,Anime,,Summer,2025,woo!
1710,Hello,,Anime,,Summer,2025,
1711,Bitter end,,Anime,,Summer,2025,
1712,CAT CITY,,Anime,,Summer,2025,
1713,Doukashiteru,,Anime,,Summer,2025,
1714,Tomoshibi,,Anime,,Summer,2025,
1715,Unique,,Anime,,Summer,2025,
1716,NEW PANTY AND ST,,Anime,,Summer,2025,
1717,Junjou de Are,,Anime,,Summer,2025,
1718,Resolution,,Anime,,Summer,2025,
1719,Kimi ga Kureta Mono,,Anime,,Summer,2025,
1720,Harenohini,,Anime,,Summer,2025,
1721,Umutsuki,,Anime,,Summer,2025,
1722,suffer,,Anime,,Summer,2025,
1723,CALLING,,Anime,,Summer,2025,
1724,Ao to Kirameki,,Anime,,Summer,2025,
1725,Wish for you,,Anime,,Summer,2025,
1726,Akari wa Tooku,,Anime,,Summer,2025,
1727,Hyakuchinisou,,Anime,,Summer,2025,
1728,Muri Muri Shinkaron,,Anime,,Summer,2025,
1729,Futari no Game,,Anime,,Summer,2025,
1730,Blue Motion,,Anime,,Summer,2025,
1731,Kakumei Douchuu,,Anime,,Summer,2025,
1732,HUGs,,Anime,,Summer,2025,
1733,Snowdrop,,Anime,,Summer,2025,
1734,Kimi ni Fusawashii,,Anime,,Summer,2025,
1735,CRY OUT CRY OVER,,Anime,,Summer,2025,
1736,Maillard,,Anime,,Summer,2025,
1737,Magestic Catastrophe,,Anime,,Summer,2025,
1738,Dystopia or Utopia,,Anime,,Summer,2025,
1739,enja,,Anime,,Summer,2025,
1740,Ame to,,Anime,,Summer,2025,
1741,Hikari no Sumika,,Anime,,Summer,2025,
1742,End of Days,,Anime,,Summer,2025,
1743,BLOOM,,Anime,,Summer,2025,
1744,Mirage,,Anime,,Summer,2025,
1745,Mr. Moonlight,,Anime,,Summer,2025,
1746,Mikansei ni Matataite,,Anime,,Summer,2025,
1747,Gesshoku,,Anime,,Summer,2025,
1748,feel,,Anime,,Summer,2025,
1749,Yuurei ni Naritai,,Anime,,Summer,2025,
1750,Ruler,,Anime,,Summer,2025,
1751,HOWL,,Anime,,Summer,2025,
1752,Can't Run From,,Anime,,Summer,2025,
1753,Kawaii Kaiwai,,Anime,,Summer,2025,
1754,Mirai Cider,,Anime,,Summer,2025,
1755,OVERNIGHT,,Anime,,Summer,2025,
1756,Wo Ai Ni,,Anime,,Summer,2025,ahh...
1757,THE REVO,,Anime,,Summer,2025,
1758,Amidakuji,,Anime,,Summer,2025,
1759,Amadeus,,Anime,,Summer,2025,
1760,Issen,,Anime,,Summer,2025,build up
1761,Spurt Syndromer,,Anime,,Summer,2025,intro dialogue
1762,Bake no Kawa,,Anime,,Summer,2025,yeah; get out
1763,Uza Kawaikute Nani,,Anime,,Summer,2025,
1764,LET’S JUST CRASH,,Anime,,Summer,2025,
1765,Senjyo no Hana,,Anime,,Summer,2025,wah...
1766,yummy goodday,,Anime,,Summer,2025,wo-o-oah...; lala; do it
1767,Get No Satisfied!,,Anime,,Summer,2025,
1768,Sakura Kaze,,Anime,,Summer,2025,la-la-la
1769,Hi wo Mamoru,,Anime,,Summer,2025,build-up drums
1770,Fumetsu no Anata e,,Anime,,Summer,2025,
1771,Nie,,Anime,,Summer,2025,
1772,Magic,,Anime,,Summer,2025,
1773,Stellar Days,,Anime,,Fall,2025,
1774,Wanna be,,Anime,,Fall,2025,
1775,Iolite,,Anime,,Fall,2025,
1776,"Hira yori Rai ya, Sara",,Anime,,Fall,2025,
1777,Monster,,Anime,,Fall,2025,
1778,Dokidoki Kirameki,,Anime,,Fall,2025,
1779,Level wo Agete Butsu,,Anime,,Fall,2025,
1780,Isekai Concerto,,Anime,,Fall,2025,
1781,Mahou,,Anime,,Fall,2025,"oohh, la-la, la-la"
1782,Honto to Uso,,Anime,,Fall,2025,
1783,Ii yo,,Anime,,Fall,2025,
1784,Toryanse,,Anime,,Fall,2025,"hey; lai, la-lai"
1785,"Ikite, Sansan",,Anime,,Fall,2025,
1786,Future Session,,Anime,,Fall,2025,
1787,Dramatic Overlay,,Anime,,Fall,2025,"1, 2, 3"
1788,Koi no Magic Potion,,Anime,,Fall,2025,
1789,Prologue,,Anime,,Fall,2025,
1790,Futaribun,,Anime,,Fall,2025,
1791,Invincible,,Anime,,Fall,2025,
1792,Reincarnation,,Anime,,Fall,2025,
1793,Ender,,Anime,,Fall,2025,
1794,Hacha Mecha Wacha,,Anime,,Fall,2025,
1795,Liar,,Anime,,Fall,2025,
1796,Sugary Story,,Anime,,Fall,2025,
1797,Zettai Shousan,,Anime,,Fall,2025,
1798,Mad Pulse,,Anime,,Fall,2025,build-up; wo-wo-wo
1799,Seishun no Silhouette,,Anime,,Fall,2025,
1800,Kusuguttai.,,Anime,,Fall,2025,
1801,Hyakumensou,,Anime,,Fall,2025,
1802,Futari de Iyouka,,Anime,,Fall,2025,
1803,"1, 2, Play",,Anime,,Fall,2025,
1804,Quest,,Anime,,Fall,2025,
1805,U.K.U,,Anime,,Fall,2025,
1806,Gohan Tabeyo,,Anime,,Fall,2025,
1807,Daybreak,,Anime,,Fall,2025,
1808,So Far Away,,Anime,,Fall,2025,
1809,Happy Yummy Lucky,,Anime,,Fall,2025,
1810,Adultic Children,,Anime,,Fall,2025,"1, 2, 3, 4"
1811,Sweet Disaster,,Anime,,Fall,2025,
1812,Algorithm,,Anime,,Fall,2025,
1813,Inochi no Parade,,Anime,,Fall,2025,
1814,Empty Heart,,Anime,,Fall,2025,
1815,POP LIFE,,Anime,,Fall,2025,
1816,Stare in Wonder,,Anime,,Fall,2025,
1817,WE ARE MADE,,Anime,,Fall,2025,
1818,Bukiyou na I love you,,Anime,,Fall,2025,
1819,Platform,,Anime,,Fall,2025,ahh; Stems
1820,Black Flame,,Anime,,Fall,2025,
1821,Piece of my world,,Anime,,Fall,2025,
1822,Touring,,Anime,,Fall,2025,
1823,Careless,,Anime,,Summer,2021,
1824,Shingetsu no Da Capo,,Anime,,Fall,2021,
1825,Gamushara,CHiCO with HoneyWorks,Anime,Boruto,Summer,2021,
1826,BOY,King Gnu,Anime,Ranking of Kings,Fall,2021,
1827,Asa ga Kuru,Aimer,Anime,Demon Slayer,Winter,2022,
1828,Shinshi no Torihiki,,Anime,TsukiMichi: Moonlit Fantasy,Summer,2022,
1829,Endless Love,,Anime,,Fall,2022,
1830,Route BLUE,,Anime,Shikimori's Not Just a Cutie,Spring,2022,
1831,Make Up Life,,Anime,,Spring,2022,
1832,Koshaberi Byori,,Anime,,Spring,2022,
1833,Hajimari e to Tsuzuku Bashou,,Anime,,Summer,2022,
1834,Tokyo Shandy Rendezvous,,Anime,,Fall,2022,
1835,VITA,,Game,,Winter,2023,
1836,Daremo Karemo Dokomo Nanimo Shiranai,ASOBI Doumei,Anime,Heavenly Delusion,Spring,2023,
1837,a few sentimental,Kohana Lam,Anime,Dangers In My Heart,Spring,2023,
1838,Tsuki no Hana,Daoko,Anime,Pretty Guardian Sailor Moon Cosmos The Movie,Spring,2023,
1839,Follow You,,Anime,,Spring,2023,
1840,Kuufuku,,Anime,,Spring,2023,
1841,NAME,"Mie, Komura, Masayoshi Oishi",Anime,,Summer,2023,
1842,Ikenai Etranger,,Anime,,Fall,2023,
1843,Itterashai...,,Anime,,Fall,2023,
1844,Etcetera,imase,Anime,Kimi ni Todoke: Season 3,Spring,2025,
1845,Tatakae ga Kieta,,Anime,,Fall,2024,
1846,Back With a Bang,,Anime,,Fall,2024,
1847,Be Your Saikyo,,Anime,,Fall,2024,
1848,request,,Anime,Solo Leveling,Fall,2024,
1849,Nothing can challenge,,Anime,,Fall,2024,
1850,Drifters,,Anime,,Fall,2024,
1851,Konse Daikakumei,,Anime,,Fall,2024,
1852,,,,,,,
1853,,,,,,,
K00001,From Home,NCT U,KPop,NCT Resonance Pt. 1,Fall,2020,
K00002,Knock On,NCT 127,KPop,NCT #127 Regular-Irregular,Fall,2018,
K00003,Ice Cream,TWICE,KPop,TWICEcoaster: Lane 2,Winter,2017,
K00004,White Night,NCT 127,KPop,NCT #127 Neo Zone,Winter,2020,
K00005,Love & Evil,LOONA 1/3,KPop,Love & Evil,Spring,2017,
K00006,Up All Night,Stray Kids,KPop,SKZ-PLAYER,Spring,2021,
K00007,Be As one,TWICE,KPop,BDZ,Summer,2018,
K00008,Someday,IZ*ONE,KPop,BLOOM*IZ,Winter,2020,
K00009,Reflection,BTS,KPop,Wings,Fall,2016,
K00010,Everybody Has,CHUNG HA,KPop,Querencia,Winter,2021,
K00011,Apology,iKON,KPop,WELCOME BACK,Fall,2015,
K00012,Memory,IZ*ONE,KPop,COLOR*IZ,Fall,2018,
K00013,BLAH,1THE9,KPop,Blah Blah,Fall,2019,
K00014,TO THE BEAT,ATEEZ,KPop,ZERO : FEVER Part.1,Summer,2020,
K00015,Alone,Jackson Wang,KPop,Alone,Winter,2021,
K00016,Outro: We Are 127,NCT 127,KPop,NCT #127 We Are Superhuman,Spring,2019,
K00017,Dive Into You,NCT DREAM,KPop,Hot Sauce,Spring,2021,
