SECTION_ID,SONG_ID,PART,BPM,KEY,SECTION_ORDER
636,428,Full Song,136.0,G Major,1
637,429,Verse,87.5,C# Major,1
638,429,Chorus,87.5,D# Major,2
639,430,Full Song,86.0,F Major,1
640,431,Full Song,74.5,G Major,1
641,432,Full Song,100.0,D Major,1
642,433,Full Song,106.0,D# Major,1
643,434,Full Song,82.0,C# Major,1
644,435,Full Song,73.0,F Major,1
645,436,Full Song,89.0,D# Major,1
646,437,Full Song,102.0,F# Major,1
647,438,Full Song,88.0,G# Major,1
648,439,Full Song,87.5,G Major,1
649,440,Verse,138.0,A Major,1
650,440,Prechorus,138.0,C Major,2
651,440,Chorus,138.0,C Major,3
652,441,Full Song,112.5,A Major,1
653,442,Full Song,73.5,D Major,1
654,443,Full Song,79.0,D Major,1
655,444,Verse,90.0,C Major,1
656,444,Prechorus,90.0,D# Major,2
657,444,Chorus,90.0,F# Major,3
658,445,Full Song,77.5,G Major,1
659,446,Full Song,73.0,A Major,1
660,447,Full Song,97.0,D# Major,1
661,448,Verse,103.0,D Major,1
662,448,Chorus,103.0,A Major,2
663,449,Full Song,73.5,A# Major,1
664,450,Full Song,85.5,B Major,1
665,451,Verse,130.0,F# Major,1
666,451,Chorus,130.0,A Major,2
667,452,Verse,87.5,B Major,1
668,452,Prechorus,87.5,D Major,2
669,452,Chorus,87.5,F Major,3
670,453,Full Song,84.0,C# Major,1
671,454,Full Song,78.0,G Major,1
672,455,Full Song,78.0,F Major,1
673,456,Verse,88.0,F# Major,1
674,456,Prechorus,88.0,D# Major,2
675,456,Chorus,88.0,F# Major,3
676,457,Verse,87.0,B Major,1
677,457,Prechorus,89.0,B Major,2
678,457,Chorus,90.0,B Major,3
679,458,Verse,86.0,E Major,1
680,458,Chorus,86.0,C Major,2
681,459,Full Song,88.5,C Major,1
682,460,Full Song,82.0,A# Major,1
683,461,Verse,100.0,G Major,1
684,461,Chorus,100.0,A Major,2
685,462,Verse,108.0,G# Major,1
686,462,Chorus,108.0,B Major,2
687,463,Full Song,130.0,G Major,1
688,464,Verse,88.0,G# Major,1
689,464,Chorus,88.0,F Major,2
690,465,Verse,94.0,A Major,1
691,465,Prechorus,94.0,D Major,2
692,465,Chorus,94.0,D Major,3
693,466,Full Song,71.5,A Major,1
694,467,Verse,105.0,B Major,1
695,467,Chorus,105.0,G# Major,2
696,468,Full Song,71.0,C# Major,1
697,469,Full Song,92.4,D Major,1
698,470,Full Song,131.0,G Major,1
699,471,Full Song,135.0,D# Major,1
700,472,Full Song,126.0,C# Major,1
701,473,Full Song,78.0,D# Major,1
702,474,Full Song,128.0,F Major,1
703,475,Full Song,120.0,D# Major,1
704,476,Full Song,128.0,G Major,1
705,477,Verse,100.0,B Major,1
706,477,Chorus,100.0,C# Major,2
707,478,Full Song,93.0,F Major,1
708,479,Verse,80.0,A Major,1
709,479,Chorus,80.0,F# Major,2
710,480,Full Song,94.0,F# Major,1
711,481,Full Song,118.0,F# Major,1
712,482,Full Song,72.5,G# Major,1
713,483,Full Song,73.5,G Major,1
714,484,Full Song,135.0,G# Major,1
715,485,Full Song,76.5,D# Major,1
716,486,Full Song,128.0,B Major,1
717,487,Verse,71.5,A# Major,1
718,487,Chorus,71.5,A# Major,2
719,487,Verse 2,84.5,A# Major,3
720,488,Verse,122.0,F# Major,1
