ID,TITLE,BPM,KEY,PART,ARTIST,TYPE,ORIGIN,YEAR,SEASON
2000,Step Up,75,D# Major,,,Anime,,2022,
2001,Shirushi,73,G# Major,,LiSA,Anime,Sword Art Online: Season 2,2016,
2003,Hikari no Nai Machi,97.5,G# Major,,,Anime,,2023,
2007,MY SADISTIC ADO,150,F# Major,,,Anime,,2023,
2008,INNOCENCE,91.5,E Major,,,Anime,,,
2011,Promenade,85.5,F# Major,,,Anime,,2024,
2016,Nisen-nen...,134,E Major,,,Anime,,2023,
2017,Another Birthday,72.5,C# Major,,,Anime,,2024,
2018,Chisana Kiseki,71,F# Major,,,Anime,,2021,
2019,Shinzou,95,G Major,,,Anime,,2022,
2020,PHOENIX PRAYER,83,D# Major,,,Anime,,2022,
2021,Sakayume,90,F# Major,,,Anime,,2022,
2023,Shiny Ray,91.5,D Major,,,Anime,,,
2028,Ah Yeah!,70,G# Major,,Sukima Switch,Anime,Haikyuu!! Season 2,2014,
2032,Seija no Koushin,79,D# Major,,,Anime,,2021,
2034,Black + White,96,D Major,,,Anime,,,
2035,Broken Games,160,D Major,,,Anime,,2023,
2036,ambiguous,89,F Major,,,Anime,,,
2038,I'm A Believer,97,C Major,,,Anime,,,
2040,Hikari,90.5,D# Major,,,Anime,,2022,
2045,MUSASHI,70.5,D# Major,,,Anime,,2021,
2046,3-pun 29-byou,101.5,D Major,,,Anime,,2021,
2048,Space Cat Big Bang,153,D Major,,,Anime,,2023,
2055,Kura Kura,94,D# Major,,,Anime,,2023,
2059,Kaibutsu,91,C Major,,,Anime,,2023,
2060,Kibou no Uta,88.5,B Major,,,Anime,,,
2062,mutual love,93,A Major,,,Anime,,2024,
2064,Haruka,134,A Major,,,Anime,,2023,
2067,Season,79.5,D# Major,,Alisa Takigawa,Anime,The Seven Deadly Sins,2015,
2071,TRUE STORY,96,C Major,,,Anime,,2023,
2073,unravel,135,A# Major,,,Anime,,,
2075,Dreaming Sound,86,G Major,,,Anime,,2021,
2086,EVOLVE,86,F# Major,,,Anime,,2024,
2089,Never Fear,124,A Major,,,Anime,,2023,
2092,History Maker,134,E Major,,,Anime,,,
2094,Prime number,138,C Major,,,Anime,,,
2097,Ai no Uta,96,A Major,,,Anime,,2023,
2111,SKETCH,94,C Major,,,Anime,,2022,
2119,STONE OCEAN,90,G Major,,,Anime,,2021,
2123,Musouteki Chronicle,92,E Major,,,Anime,,2022,
2124,FAITH,78,D# Major,,MADKID,Anime,The Rising of the Shield Hero: Season 2,2019,
2134,FROZEN MIDNIGHT,155,C Major,,,Anime,,2023,
2137,Realize,103,F Major,,,Anime,,,
2140,No.7,95,F# Major,,,Anime,,,
2142,Love Song,84,A# Major,,Iwami Manaka,Anime,Tada Never Falls in Love,2018,
2148,Ponpopopon,82.5,D Major,,,Anime,,2024,
2152,Hito Shibai,120,E Major,,,Anime,,2022,
2153,Evolution,100,A# Major,,,Anime,,2023,
2154,Tabi no Yukue,83.33,G# Major,,,Anime,,2024,
2155,Kimi to Revue,118,G# Major,,,Anime,,2023,
2157,LOVE INFINITY,128,G Major,,,Anime,,2023,
2158,Zen Zen Zense,95,B Major,,,Anime,,,
2159,FLOW - GOLD,72,D Major,,,Anime,,2022,
2160,Sincerely,72,D Major,,TRUE,Anime,Violet Evergarden,2018,
2173,Saigo no Kyojin,155,E Major,,,Anime,,2023,
2175,The Rumbling,72.5,D# Major,,,Anime,,2022,
2178,By My Darling,137,G Major,,,Anime,,2024,
2182,Gunjou Love theory,70,F Major,,,Anime,,2022,
2186,Kimi Janakya Dame,131,D Major,,,Anime,,,
2187,Demachiyanagi,85.5,D# Major,,,Anime,,2022,
2197,Fatima,89.5,E Major,,,Anime,,,
2199,Hikaru Toki,130,D Major,,,Anime,,2021,
2200,Into the Fire,132,G Major,,,Anime,,2024,
2203,I Am...,90,D Major,,,Anime,,2024,
2205,Rashisa,84,C Major,,SUPER BEAVER,Anime,Rashisa,2014,
2215,BRAVER,94,D Major,,,Anime,,,
2216,Chiisana Boukensha,79,C Major,,"Inori Minase, Sora Amamiya, Rie Takahashi",Anime,KONOSUBA: God's blessing on this wonderful world!,2016,
2217,START!! True dreams,89,F Major,,,Anime,,2021,
2220,Little Busters,75.5,E Major,,Rita,Anime,Little Busters!,2012,
2228,Pilot,100,D Major,,,Anime,,2022,
2232,Isshin Douta,135,A# Major,,,Anime,,2022,
2234,MYSTERIOUS,70,E Major,,,Anime,,2022,
2235,Hajimete wa zenbu,96,G# Major,,,Anime,,2024,
2238,Naite Iinda,130,D Major,,,Anime,,2023,
2240,Koukotsu Labyrinth,100,E Major,,,Anime,,2021,
2244,Overfly,134,G# Major,,,Anime,,,
2248,Kimi To Iu Shinhwa,88,E Major,,,Anime,,2020,
2251,Otome domo yo,86,E Major,,CHiCO with HoneyWorks,Anime,Kaguya-sama: Love is War,2019,
2253,Judgement,90,G Major,,,Anime,,2023,
2255,UNDER THE TREE,160,C Major,,,Anime,,2023,
2258,No Frontier,81,C Major,,,Anime,,2023,
2260,Tomadoi Recipe,85,G Major,,Mikakuning!,Anime,Engaged to the Unidentified,2014,
